method,nominal_level,side,kind,conditioner,timing,stat,df,p_value,n,regressors,expected_violation_rate,detail,p_holm,n_tests_in_family,implementable
MC-Dropout-LSTM,0.9,both,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-1.0170774739564854,,0.3091165753225643,784,,0.09999999999999998,PICP 0.8795 (n=332) vs 0.8540 (n=452); z_iid=-1.033 p_iid=0.3015,1.0,7,True
MC-Dropout-LSTM,0.9,both,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),-0.5854218944082173,,0.5582640705371742,784,,0.09999999999999998,PICP 0.8873 (n=71) vs 0.8626 (n=713); z_iid=-0.582 p_iid=0.5605,1.0,7,True
MC-Dropout-LSTM,0.9,both,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.33891526850679765,,0.7346735618586886,784,,0.09999999999999998,PICP 0.8475 (n=59) vs 0.8662 (n=725); z_iid=0.405 p_iid=0.6855,1.0,7,True
MC-Dropout-LSTM,0.9,upper,DQ incremental,regime,t-1 (implementable),7.775925882494498,2.0,0.02048703685794545,780,"regime_transitional(t-1), regime_crisis(t-1)",0.04999999999999999,"DQ_full=38.091 (df 7, p=2.912e-06) vs DQ_level+dynamics=30.315 (df 5, p=1.279e-05)",0.1229222211476727,7,True
MC-Dropout-LSTM,0.9,upper,DQ incremental,transition,t-1 (implementable),0.34606239161665187,1.0,0.5563506231272431,780,transition_exante(t-1),0.04999999999999999,"DQ_full=30.661 (df 6, p=2.942e-05) vs DQ_level+dynamics=30.315 (df 5, p=1.279e-05)",1.0,7,True
MC-Dropout-LSTM,0.9,upper,DQ incremental,width,t-1 (implementable),4.51292196903497,1.0,0.033639726427870824,780,log_interval_width,0.04999999999999999,"DQ_full=34.828 (df 6, p=4.654e-06) vs DQ_level+dynamics=30.315 (df 5, p=1.279e-05)",0.1345589057114833,7,True
MC-Dropout-LSTM,0.9,upper,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),2.2890399401552957,,0.022077031881367958,784,,0.04999999999999999,PICP 0.9003 (n=381) vs 0.9429 (n=403); z_iid=2.229 p_iid=0.02581,0.1229222211476727,7,True
MC-Dropout-LSTM,0.9,upper,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-2.3771771278982485,,0.017445708481039948,784,,0.04999999999999999,PICP 0.9458 (n=332) vs 0.9049 (n=452); z_iid=-2.113 p_iid=0.03458,0.12211995936727964,7,True
MC-Dropout-LSTM,0.9,upper,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),-0.18018180017065816,,0.857009845952981,784,,0.04999999999999999,PICP 0.9296 (n=71) vs 0.9215 (n=713); z_iid=-0.244 p_iid=0.8076,1.0,7,True
MC-Dropout-LSTM,0.9,upper,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.5369665756673805,,0.5912907021524166,784,,0.04999999999999999,PICP 0.8983 (n=59) vs 0.9241 (n=725); z_iid=0.712 p_iid=0.4763,1.0,7,True
MC-Dropout-LSTM,0.95,both,DQ incremental,regime,t-1 (implementable),5.820602179962595,2.0,0.05445933024170804,780,"regime_transitional(t-1), regime_crisis(t-1)",0.050000000000000044,"DQ_full=30.651 (df 7, p=7.21e-05) vs DQ_level+dynamics=24.830 (df 5, p=0.0001503)",0.3812153116919563,7,True
MC-Dropout-LSTM,0.95,both,DQ incremental,transition,t-1 (implementable),0.06327753955859805,1.0,0.8013886995678778,780,transition_exante(t-1),0.050000000000000044,"DQ_full=24.893 (df 6, p=0.0003573) vs DQ_level+dynamics=24.830 (df 5, p=0.0001503)",1.0,7,True
MC-Dropout-LSTM,0.95,both,DQ incremental,width,t-1 (implementable),0.9365408512761384,1.0,0.333169036790592,780,log_interval_width,0.050000000000000044,"DQ_full=25.767 (df 6, p=0.0002461) vs DQ_level+dynamics=24.830 (df 5, p=0.0001503)",1.0,7,True
MC-Dropout-LSTM,0.95,both,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),1.768166270323572,,0.07703311120445641,784,,0.050000000000000044,PICP 0.9003 (n=381) vs 0.9380 (n=403); z_iid=1.941 p_iid=0.05227,0.46219866722673847,7,True
MC-Dropout-LSTM,0.95,both,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-1.7202701353004235,,0.08538334942628689,784,,0.050000000000000044,PICP 0.9398 (n=332) vs 0.9049 (n=452); z_iid=-1.776 p_iid=0.07577,0.46219866722673847,7,True
MC-Dropout-LSTM,0.95,both,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),-0.24047155107050228,,0.8099647152433029,784,,0.050000000000000044,PICP 0.9296 (n=71) vs 0.9187 (n=713); z_iid=-0.323 p_iid=0.7468,1.0,7,True
