lag,acf,se_white,se_bartlett,significant_white,significant_bartlett,pair
13,0.0039006240297072333,0.03571428571428571,0.04357719660589998,False,False,Regime-LSTM-A vs LSTM
14,0.06810116329479157,0.03571428571428571,0.0435776419447815,False,False,Regime-LSTM-A vs LSTM
15,-0.05336928240340111,0.03571428571428571,0.04371317786905595,False,False,Regime-LSTM-A vs LSTM
16,0.011382482758313096,0.03571428571428571,0.04379620920349208,False,False,Regime-LSTM-A vs LSTM
17,-0.017746976039037993,0.03571428571428571,0.04379998234167571,False,False,Regime-LSTM-A vs LSTM
18,-0.045637986015174534,0.03571428571428571,0.043809153269244665,False,False,Regime-LSTM-A vs LSTM
19,-0.011918367204451384,0.03571428571428571,0.04386975314733108,False,False,Regime-LSTM-A vs LSTM
20,-0.04268889097954156,0.03571428571428571,0.043873882974043474,False,False,Regime-LSTM-A vs LSTM
1,0.02643791917507583,0.03571428571428571,0.03571428571428571,False,False,Regime-LSTM-B vs LSTM
2,-0.07711524882890296,0.03571428571428571,0.03573923998092364,True,True,Regime-LSTM-B vs LSTM
3,-0.059906358285544484,0.03571428571428571,0.035950849567473235,False,False,Regime-LSTM-B vs LSTM
4,0.14384862330173295,0.03571428571428571,0.03607795191846171,True,True,Regime-LSTM-B vs LSTM
5,-0.06696919170221108,0.03571428571428571,0.03680224744139246,False,False,Regime-LSTM-B vs LSTM
6,-0.04130529330269961,0.03571428571428571,0.03695735946145381,False,False,Regime-LSTM-B vs LSTM
7,-0.03234620422089095,0.03571428571428571,0.03701619623636502,False,False,Regime-LSTM-B vs LSTM
8,-0.04546973989262657,0.03571428571428571,0.037052231479409246,False,False,Regime-LSTM-B vs LSTM
9,-0.07156095043568567,0.03571428571428571,0.037123336127991596,True,False,Regime-LSTM-B vs LSTM
10,-0.021878374140937438,0.03571428571428571,0.037298871072735794,False,False,Regime-LSTM-B vs LSTM
11,-0.0006799495290653241,0.03571428571428571,0.037315236338965344,False,False,Regime-LSTM-B vs LSTM
12,-0.005044192836435908,0.03571428571428571,0.03731525214238247,False,False,Regime-LSTM-B vs LSTM
13,0.012654987562917712,0.03571428571428571,0.03731612185517434,False,False,Regime-LSTM-B vs LSTM
14,-0.02029822197889201,0.03571428571428571,0.0373215955304476,False,False,Regime-LSTM-B vs LSTM
15,0.033269302626818154,0.03571428571428571,0.03733567407713707,False,False,Regime-LSTM-B vs LSTM
16,0.005612669072806509,0.03571428571428571,0.0373734684876512,False,False,Regime-LSTM-B vs LSTM
17,0.008328956796394294,0.03571428571428571,0.03737454359828917,False,False,Regime-LSTM-B vs LSTM
18,0.012348011907386283,0.03571428571428571,0.03737691101933172,False,False,Regime-LSTM-B vs LSTM
19,0.01519986881646727,0.03571428571428571,0.03738211390621465,False,False,Regime-LSTM-B vs LSTM
20,-0.002960418221170256,0.03571428571428571,0.037389996224644576,False,False,Regime-LSTM-B vs LSTM
1,0.059703751856502084,0.03571428571428571,0.03571428571428571,False,False,Regime-LSTM-B vs HAR-RV
2,-0.008246221405255818,0.03571428571428571,0.035841364555900146,False,False,Regime-LSTM-B vs HAR-RV
3,-0.04994700910986847,0.03571428571428571,0.03584378444087477,False,False,Regime-LSTM-B vs HAR-RV
4,0.0882814351599176,0.03571428571428571,0.035932449445361225,True,True,Regime-LSTM-B vs HAR-RV
5,-0.0265601621842777,0.03571428571428571,0.036208045872194866,False,False,Regime-LSTM-B vs HAR-RV
6,-0.029442066636631497,0.03571428571428571,0.03623288814559037,False,False,Regime-LSTM-B vs HAR-RV
7,-0.04512916880312179,0.03571428571428571,0.03626339060099936,False,False,Regime-LSTM-B vs HAR-RV
8,0.053041610695777376,0.03571428571428571,0.03633495579841319,False,False,Regime-LSTM-B vs HAR-RV
9,-0.01339916721276508,0.03571428571428571,0.03643358458192046,False,False,Regime-LSTM-B vs HAR-RV
10,0.00527776319084917,0.03571428571428571,0.036439869508256444,False,False,Regime-LSTM-B vs HAR-RV
11,-0.018683957828771854,0.03571428571428571,0.036440844500395,False,False,Regime-LSTM-B vs HAR-RV
12,0.010052966063641183,0.03571428571428571,0.036453061384894896,False,False,Regime-LSTM-B vs HAR-RV
