method,nominal_level,side,kind,conditioner,timing,stat,df,p_value,n,regressors,expected_violation_rate,detail,p_holm,n_tests_in_family,implementable
Quantile-LSTM,0.9,both,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-1.2038980904860903,,0.228628969936576,784,,0.09999999999999998,PICP 0.8419 (n=329) vs 0.8066 (n=455); z_iid=-1.275 p_iid=0.2021,1.0,7,True
Quantile-LSTM,0.9,both,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),0.38127814821291284,,0.702996866446691,784,,0.09999999999999998,PICP 0.8026 (n=76) vs 0.8234 (n=708); z_iid=0.450 p_iid=0.6525,1.0,7,True
Quantile-LSTM,0.9,both,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.27020895309435033,,0.786999505232912,784,,0.09999999999999998,PICP 0.8077 (n=52) vs 0.8224 (n=732); z_iid=0.268 p_iid=0.789,1.0,7,True
Quantile-LSTM,0.9,upper,DQ incremental,regime,t-1 (implementable),14.213942475379412,2.0,0.0008193729235069485,780,"regime_transitional(t-1), regime_crisis(t-1)",0.04999999999999999,"DQ_full=94.184 (df 7, p=1.707e-17) vs DQ_level+dynamics=79.970 (df 5, p=8.515e-16)",0.0057356104645486395,7,True
Quantile-LSTM,0.9,upper,DQ incremental,transition,t-1 (implementable),0.20845166718231667,1.0,0.6479836873975419,780,transition_exante(t-1),0.04999999999999999,"DQ_full=80.178 (df 6, p=3.283e-15) vs DQ_level+dynamics=79.970 (df 5, p=8.515e-16)",1.0,7,True
Quantile-LSTM,0.9,upper,DQ incremental,width,t-1 (implementable),2.226792077395814,1.0,0.13563519827780654,780,log_interval_width,0.04999999999999999,"DQ_full=82.196 (df 6, p=1.256e-15) vs DQ_level+dynamics=79.970 (df 5, p=8.515e-16)",0.5425407931112262,7,True
Quantile-LSTM,0.9,upper,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),2.5504213182288304,,0.010759280715989266,784,,0.04999999999999999,PICP 0.8654 (n=379) vs 0.9235 (n=405); z_iid=2.653 p_iid=0.007981,0.0645556842959356,7,True
Quantile-LSTM,0.9,upper,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-2.4812921009530227,,0.013090704928682355,784,,0.04999999999999999,PICP 0.9271 (n=329) vs 0.8725 (n=455); z_iid=-2.462 p_iid=0.01382,0.06545352464341178,7,True
Quantile-LSTM,0.9,upper,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),-0.2798988688544491,,0.77955509507435,784,,0.04999999999999999,PICP 0.9079 (n=76) vs 0.8941 (n=708); z_iid=-0.374 p_iid=0.7082,1.0,7,True
Quantile-LSTM,0.9,upper,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.2746178475046181,,0.7836098530181776,784,,0.04999999999999999,PICP 0.8846 (n=52) vs 0.8962 (n=732); z_iid=0.263 p_iid=0.7924,1.0,7,True
